"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","true","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","true","false","-","--","true"
"20","locogp.SortCocktail","BRANCH","3","19","0.0","18689","5","100","100","100","100","False","64","|","false","true","0","0.0","false"
